"package","permissions",
"com.activ8rlives.mobile","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.RECORD_AUDIO\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
com.google.android.providers.gsf.permission.READ_GSERVICES\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE\
activ8map.Android.permission.MAPS_RECEIVE\
android.permission.BLUETOOTH_PRIVILEGED"
"com.fitbit.FitbitMobile","android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.READ_CONTACTS\
com.google.android.c2dm.permission.RECEIVE\
android.permission.GET_ACCOUNTS\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
com.google.android.providers.gsf.permission.READ_GSERVICES\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.RECEIVE_SMS\
android.permission.NFC\
com.fitbit.FitbitMobile.permission.C2D_MESSAGE"
"com.garmin.android.apps.connectmobile","android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.BROADCAST_STICKY\
android.permission.READ_CONTACTS\
com.google.android.c2dm.permission.RECEIVE\
android.permission.GET_ACCOUNTS\
android.permission.VIBRATE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
com.google.android.providers.gsf.permission.READ_GSERVICES\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.READ_CALL_LOG\
android.permission.SYSTEM_ALERT_WINDOW\
com.android.vending.CHECK_LICENSE\
com.garmin.android.apps.connectmobile.permission.MAPS_RECEIVE\
com.garmin.android.apps.connectmobile.permission.RECEIVE_BROADCASTS\
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION\
android.permission.READ_CALENDAR\
android.permission.WRITE_CALL_LOG\
com.garmin.a"
"com.hapiconnect","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.GET_ACCOUNTS\
android.permission.VIBRATE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.FLASHLIGHT\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.MOUNT_UNMOUNT_FILESYSTEMS\
android.permission.ACCESS_WIFI_STATE\
android.permission.CHANGE_WIFI_STATE\
android.permission.READ_LOGS\
android.permission.MANAGE_ACCOUNTS\
android.permission.GET_TASKS\
android.permission.BLUETOOTH_PRIVILEGED\
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION\
android.permission.ACCESS_DOWNLOAD_MANAGER"
"com.jawbone.upopen","com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY\
android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.BODY_SENSORS\
android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.BROADCAST_STICKY\
android.permission.READ_CONTACTS\
android.permission.RECORD_AUDIO\
android.permission.MODIFY_AUDIO_SETTINGS\
com.google.android.c2dm.permission.RECEIVE\
android.permission.GET_ACCOUNTS\
android.permission.VIBRATE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
com.jawbone.up.permission.MAPS_RECEIVE\
com.google.android.providers.gsf.permission.READ_GSERVICES\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.FLASHLIGHT\
android.permission.READ_EXTERNAL_STORAGE"
"com.ks.wristband","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_PHONE_STATE\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE"
"com.medm.medmwt.diary","android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.INTERNET\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
com.google.android.c2dm.permission.RECEIVE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.GET_TASKS\
android.permission.DISABLE_KEYGUARD\
android.permission.SYSTEM_ALERT_WINDOW\
android.permission.NFC\
com.medm.medmwt.diary.permission.C2D_MESSAGE"
"com.microsoft.kapp","android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.READ_CONTACTS\
com.google.android.c2dm.permission.RECEIVE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_PHONE_STATE\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE\
android.permission.GET_TASKS\
android.permission.RECEIVE_SMS\
android.permission.CALL_PHONE\
android.permission.READ_CALENDAR\
android.permission.PROCESS_OUTGOING_CALLS\
android.permission.READ_SMS\
android.permission.SEND_SMS\
com.microsoft.band.service.access.BIND_BAND_SERVICE\
com.microsoft.band.service.access.BIND_BAND_SERVICE_ADMIN\
com.microsoft.kapp.permission.C2D_MESSAGE"
"com.mioglobal.android.miogo","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_EXTERNAL_STORAGE"
"com.stabxtom.thomson","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.VIBRATE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.FLASHLIGHT\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE\
android.permission.CHANGE_WIFI_STATE\
android.permission.GET_TASKS\
android.permission.CHANGE_CONFIGURATION"
"com.veclink.movnow.healthy_q2","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.READ_CONTACTS\
android.permission.GET_ACCOUNTS\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_PHONE_STATE\
android.permission.CAMERA\
android.permission.FLASHLIGHT\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.MOUNT_UNMOUNT_FILESYSTEMS\
android.permission.ACCESS_WIFI_STATE\
android.permission.CHANGE_WIFI_STATE\
android.permission.ACCESS_GPS\
android.permission.READ_LOGS\
android.permission.USE_CREDENTIALS\
android.permission.MANAGE_ACCOUNTS\
android.permission.AUTHENTICATE_ACCOUNTS\
com.android.launcher.permission.READ_SETTINGS\
android.permission.WRITE_SETTINGS\
android.permission.GET_TASKS\
android.permission.RECEIVE_SMS\
android.permission.MEDIA_CONTENT_CONTROL\
android.permission.READ_SYNC_SETTINGS\
android.permission.INTERACT_ACROSS_USERS_FULL\
android.permission.CALL_PHONE\
android.permission.READ_CALL_LOG"
"com.withings.wiscale2","com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY\
android.permission.RECEIVE_BOOT_COMPLETED\
android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
com.google.android.c2dm.permission.RECEIVE\
android.permission.GET_ACCOUNTS\
android.permission.VIBRATE\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.CAMERA\
android.permission.FLASHLIGHT\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE\
com.withings.wiscale2.permission.C2D_MESSAGE"
"com.zensorium.tinke","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.READ_CONTACTS\
android.permission.GET_ACCOUNTS\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
android.permission.READ_EXTERNAL_STORAGE\
android.permission.ACCESS_WIFI_STATE\
android.permission.GET_TASKS"
"fi.polar.polarflow","android.permission.INTERNET\
android.permission.ACCESS_NETWORK_STATE\
android.permission.ACCESS_FINE_LOCATION\
android.permission.ACCESS_COARSE_LOCATION\
android.permission.WAKE_LOCK\
android.permission.WRITE_EXTERNAL_STORAGE\
android.permission.READ_CONTACTS\
android.permission.BLUETOOTH\
android.permission.BLUETOOTH_ADMIN\
com.google.android.providers.gsf.permission.READ_GSERVICES\
android.permission.READ_PHONE_STATE\
android.permission.READ_EXTERNAL_STORAGE"
